Run,GPU,Component,Split,Energy,CO2eq,Time,Distance
9,L40S,cand_gen,website,0.27,102.76,00:51:49,0.96
10,L40S,cand_gen,domain,0.99,378.69,03:09:36,3.52
10,L40S,cand_gen,task,0.46,175.59,01:46:43,1.63
10,L40S,cand_gen,website,0.27,103.03,00:51:19,0.96
1,RTXA6000,cand_gen,domain,1.14,433.89,04:08:31,4.04
1,RTXA6000,cand_gen,task,0.54,206.82,02:04:17,1.92
1,RTXA6000,cand_gen,website,0.32,122.03,01:11:05,1.14
2,RTXA6000,cand_gen,domain,1.12,424.78,04:14:39,3.95
2,RTXA6000,cand_gen,task,0.59,223.83,02:49:08,2.08
2,RTXA6000,cand_gen,website,0.3,116.11,01:10:03,1.08
3,RTXA6000,cand_gen,domain,1.12,428.01,04:13:10,3.98
3,RTXA6000,cand_gen,task,0.56,213.51,02:39:17,1.99
3,RTXA6000,cand_gen,website,0.3,115.8,01:10:47,1.08
4,RTXA6000,cand_gen,domain,1.17,446.71,04:28:51,4.16
4,RTXA6000,cand_gen,task,0.57,218.26,02:41:11,2.03
4,RTXA6000,cand_gen,website,0.31,118.81,01:07:41,1.11
5,RTXA6000,cand_gen,domain,1.1,418.65,04:06:30,3.89
5,RTXA6000,cand_gen,task,0.58,220.47,02:39:30,2.05
5,RTXA6000,cand_gen,website,0.32,121.91,01:11:20,1.13
6,RTXA6000,cand_gen,domain,1.16,440.14,04:10:56,4.09
6,RTXA6000,cand_gen,task,0.57,217.14,02:41:29,2.02
6,RTXA6000,cand_gen,website,0.31,116.2,01:07:49,1.08
7,RTXA6000,cand_gen,domain,1.12,427.25,04:05:26,3.97
7,RTXA6000,cand_gen,task,0.52,198.31,02:18:37,1.84
7,RTXA6000,cand_gen,website,0.31,119.16,01:05:12,1.11
8,RTXA6000,cand_gen,domain,1.21,461.23,04:51:55,4.29
8,RTXA6000,cand_gen,task,0.54,204.06,01:53:55,1.9
8,RTXA6000,cand_gen,website,0.31,116.56,01:04:11,1.08
9,RTXA6000,cand_gen,domain,1.11,421.77,04:22:29,3.92
9,RTXA6000,cand_gen,task,0.53,201.32,02:13:52,1.87
9,RTXA6000,cand_gen,website,0.31,118.11,01:09:48,1.1
10,RTXA6000,cand_gen,domain,1.13,429.35,03:50:48,3.99
10,RTXA6000,cand_gen,task,0.54,204.5,02:08:25,1.9
10,RTXA6000,cand_gen,website,0.32,120.73,01:02:13,1.12
1,A100-40GB,action_pred,domain,0.29,111.98,01:04:37,1.04
1,A100-40GB,action_pred,task,0.3,113.96,01:03:52,1.06
1,A100-40GB,action_pred,website,0.19,71.34,00:42:23,0.66
2,A100-40GB,action_pred,domain,0.3,114.34,01:05:28,1.06
2,A100-40GB,action_pred,task,0.29,109.53,01:03:41,1.02
2,A100-40GB,action_pred,website,0.17,65.6,00:42:33,0.61
3,A100-40GB,action_pred,domain,0.3,113.24,01:05:03,1.05
3,A100-40GB,action_pred,task,0.27,101.53,01:04:15,0.94
3,A100-40GB,action_pred,website,0.17,65.45,00:40:21,0.61
4,A100-40GB,action_pred,domain,0.29,111.37,01:05:45,1.04
4,A100-40GB,action_pred,task,0.27,102.22,01:02:42,0.95
4,A100-40GB,action_pred,website,0.17,65.89,00:40:21,0.61
5,A100-40GB,action_pred,domain,0.26,98.04,01:00:53,0.91
5,A100-40GB,action_pred,task,0.26,100.03,01:02:15,0.93
5,A100-40GB,action_pred,website,0.18,69.5,00:41:19,0.65
1,A100-PCI,action_pred,domain,0.25,95.31,01:14:21,0.89
1,A100-PCI,action_pred,task,0.26,98.0,01:07:14,0.91
1,A100-PCI,action_pred,website,0.16,59.79,00:40:37,0.56
2,A100-PCI,action_pred,domain,0.26,97.62,01:15:35,0.91
2,A100-PCI,action_pred,task,0.24,90.74,00:59:54,0.84
2,A100-PCI,action_pred,website,0.16,61.86,00:40:29,0.58
3,A100-PCI,action_pred,domain,0.25,95.33,01:06:03,0.89
3,A100-PCI,action_pred,task,0.23,86.54,00:59:01,0.8
3,A100-PCI,action_pred,website,0.16,59.61,00:40:16,0.55
4,A100-PCI,action_pred,domain,0.24,90.18,01:01:58,0.84
4,A100-PCI,action_pred,task,0.26,100.54,01:07:55,0.94
4,A100-PCI,action_pred,website,0.16,59.28,00:38:57,0.55
5,A100-PCI,action_pred,domain,0.23,88.14,00:58:55,0.82
5,A100-PCI,action_pred,task,0.25,96.22,01:10:54,0.9
5,A100-PCI,action_pred,website,0.15,58.29,00:40:10,0.54
1,H100,action_pred,domain,0.2,74.36,00:29:18,0.69
1,H100,action_pred,task,0.19,71.04,00:30:42,0.66
1,H100,action_pred,website,0.12,44.56,00:20:33,0.41
2,H100,action_pred,domain,0.19,73.77,00:29:52,0.69
2,H100,action_pred,task,0.19,74.02,00:30:51,0.69
2,H100,action_pred,website,0.12,46.44,00:20:10,0.43
3,H100,action_pred,domain,0.19,73.7,00:29:14,0.69
3,H100,action_pred,task,0.18,70.14,00:31:12,0.65
3,H100,action_pred,website,0.12,45.65,00:20:24,0.42
4,H100,action_pred,domain,0.19,71.18,00:29:48,0.66
4,H100,action_pred,task,0.19,71.95,00:31:05,0.67
4,H100,action_pred,website,0.12,47.41,00:20:33,0.44
5,H100,action_pred,domain,0.19,73.55,00:29:27,0.68
5,H100,action_pred,task,0.19,71.77,00:30:48,0.67
5,H100,action_pred,website,0.12,47.32,00:20:36,0.44
1,H100-PCI,action_pred,domain,0.17,65.41,00:36:29,0.61
1,H100-PCI,action_pred,task,0.16,61.46,00:34:49,0.57
1,H100-PCI,action_pred,website,0.12,46.26,00:24:05,0.43
2,H100-PCI,action_pred,domain,0.18,67.19,00:36:11,0.63
2,H100-PCI,action_pred,task,0.16,60.77,00:35:03,0.57
2,H100-PCI,action_pred,website,0.13,48.15,00:24:14,0.45
3,H100-PCI,action_pred,domain,0.17,65.22,00:36:28,0.61
3,H100-PCI,action_pred,task,0.17,66.01,00:34:57,0.61
3,H100-PCI,action_pred,website,0.13,48.14,00:24:15,0.45
4,H100-PCI,action_pred,domain,0.17,64.97,00:36:21,0.6
4,H100-PCI,action_pred,task,0.17,64.37,00:35:13,0.6
4,H100-PCI,action_pred,website,0.12,44.9,00:22:37,0.42
5,H100-PCI,action_pred,domain,0.17,66.27,00:35:41,0.62
5,H100-PCI,action_pred,task,0.17,64.28,00:34:28,0.6
5,H100-PCI,action_pred,website,0.12,46.48,00:22:50,0.43
1,H200,action_pred,domain,0.19,71.7,00:31:43,0.67
1,H200,action_pred,task,0.18,69.83,00:31:22,0.65
1,H200,action_pred,website,0.11,43.81,00:19:38,0.41
2,H200,action_pred,domain,0.18,68.57,00:30:51,0.64
2,H200,action_pred,task,0.18,68.22,00:30:39,0.63
2,H200,action_pred,website,0.12,44.03,00:20:12,0.41
3,H200,action_pred,domain,0.19,73.91,00:35:27,0.69
3,H200,action_pred,task,0.18,69.8,00:32:08,0.65
3,H200,action_pred,website,0.11,43.23,00:20:19,0.4
4,H200,action_pred,domain,0.19,71.43,00:32:06,0.66
4,H200,action_pred,task,0.18,68.8,00:30:48,0.64
4,H200,action_pred,website,0.11,43.47,00:20:10,0.4
5,H200,action_pred,domain,0.19,71.37,00:31:43,0.66
5,H200,action_pred,task,0.18,68.52,00:29:49,0.64
5,H200,action_pred,website,0.11,43.04,00:18:44,0.4
1,L40S,action_pred,domain,0.23,86.68,00:42:26,0.81
1,L40S,action_pred,task,0.22,85.54,00:38:24,0.8
1,L40S,action_pred,website,0.13,51.07,00:23:35,0.48
2,L40S,action_pred,domain,0.22,83.41,00:39:17,0.78
2,L40S,action_pred,task,0.23,85.86,00:38:42,0.8
2,L40S,action_pred,website,0.15,56.57,00:29:55,0.53
3,L40S,action_pred,domain,0.22,84.76,00:37:20,0.79
3,L40S,action_pred,task,0.21,81.82,00:39:41,0.76
3,L40S,action_pred,website,0.15,57.66,00:29:50,0.54
4,L40S,action_pred,domain,0.22,83.14,00:40:29,0.77
4,L40S,action_pred,task,0.22,84.77,00:38:56,0.79
4,L40S,action_pred,website,0.14,52.98,00:24:02,0.49
5,L40S,action_pred,domain,0.22,84.55,00:38:15,0.79
5,L40S,action_pred,task,0.21,80.87,00:36:35,0.75
5,L40S,action_pred,website,0.14,51.74,00:24:10,0.48
1,RTX 3090,action_pred,domain,0.47,179.91,01:13:09,1.67
1,RTX 3090,action_pred,task,0.49,187.84,01:20:10,1.75
1,RTX 3090,action_pred,website,0.3,114.98,00:45:05,1.07
2,RTX 3090,action_pred,domain,0.48,184.65,01:14:25,1.72
2,RTX 3090,action_pred,task,0.54,204.36,01:24:31,1.9
2,RTX 3090,action_pred,website,0.31,117.01,00:48:32,1.09
3,RTX 3090,action_pred,domain,0.48,181.95,01:14:56,1.69
3,RTX 3090,action_pred,task,0.49,186.47,01:18:53,1.73
3,RTX 3090,action_pred,website,0.33,124.45,00:48:13,1.16
4,RTX 3090,action_pred,domain,0.46,175.96,01:15:08,1.64
4,RTX 3090,action_pred,task,0.49,185.34,01:17:13,1.72
